Time,State_of_Charge
2024-01-02 10:06:00,99.08
2024-01-02 10:12:00,98.17
2024-01-02 10:18:00,97.25
2024-01-02 10:24:00,96.33
2024-01-02 10:30:00,95.37
2024-01-02 10:36:00,93.66
2024-01-02 10:42:00,92.59
2024-01-02 10:48:00,91.61
2024-01-02 10:54:00,90.63
2024-01-02 11:00:00,89.66
2024-01-02 11:06:00,88.15
2024-01-02 11:12:00,87.17
2024-01-02 11:18:00,85.97
2024-01-02 11:24:00,85.0
2024-01-02 11:30:00,84.5
2024-01-02 11:36:00,83.61
2024-01-02 11:42:00,83.1
2024-01-02 11:48:00,82.11
2024-01-02 11:54:00,81.67
2024-01-02 12:00:00,81.23
2024-01-02 12:06:00,80.26
2024-01-02 12:12:00,79.75
2024-01-02 12:18:00,79.32
2024-01-02 12:24:00,78.31
2024-01-02 12:30:00,77.64
2024-01-02 12:36:00,77.36
2024-01-02 12:42:00,77.06
2024-01-02 12:48:00,76.24
2024-01-02 12:54:00,75.42
2024-01-02 13:00:00,75.17
2024-01-02 13:06:00,74.93
2024-01-02 13:12:00,74.68
2024-01-02 13:18:00,74.43
2024-01-02 13:24:00,73.47
2024-01-02 13:30:00,72.51
2024-01-02 13:36:00,71.56
2024-01-02 13:42:00,70.6
2024-01-02 13:48:00,69.04
2024-01-02 13:54:00,68.06
2024-01-02 14:00:00,67.07
2024-01-02 14:06:00,66.6
2024-01-02 14:12:00,66.17
2024-01-02 14:18:00,64.87
2024-01-02 14:24:00,64.38
2024-01-02 14:30:00,63.96
2024-01-02 14:36:00,63.52
2024-01-02 14:42:00,63.09
2024-01-02 14:48:00,62.64
2024-01-02 14:54:00,61.59
2024-01-02 15:00:00,60.43
2024-01-02 15:06:00,59.88
2024-01-02 15:12:00,59.59
2024-01-02 15:18:00,59.29
2024-01-02 15:24:00,58.64
2024-01-02 15:30:00,58.35
2024-01-02 15:36:00,58.09
2024-01-02 15:42:00,57.21
2024-01-02 15:48:00,56.92
2024-01-02 15:54:00,56.56
2024-01-02 16:00:00,55.58
2024-01-02 16:06:00,54.54
2024-01-02 16:12:00,53.58
2024-01-02 16:18:00,52.62
2024-01-02 16:24:00,51.66
2024-01-02 16:30:00,50.69
2024-01-02 16:36:00,49.73
2024-01-02 16:42:00,48.4
2024-01-02 16:48:00,46.46
2024-01-02 16:54:00,44.26
2024-01-02 17:00:00,42.96
2024-01-02 17:06:00,41.55
2024-01-02 17:12:00,39.55
2024-01-02 17:18:00,37.9
2024-01-02 17:24:00,37.07
2024-01-02 17:30:00,35.7
2024-01-02 17:36:00,34.86
2024-01-02 17:42:00,34.02
2024-01-02 17:48:00,33.23
2024-01-02 17:54:00,32.43
2024-01-02 18:00:00,30.73
2024-01-02 18:06:00,29.49
2024-01-02 18:12:00,29.21
2024-01-02 18:18:00,28.53
2024-01-02 18:24:00,27.4
2024-01-02 18:30:00,27.17
2024-01-02 18:36:00,26.95
2024-01-02 18:42:00,26.52
2024-01-02 18:48:00,26.25
2024-01-02 18:54:00,25.98
2024-01-02 19:00:00,25.71
2024-01-02 19:06:00,25.15
2024-01-02 19:12:00,24.87
2024-01-02 19:18:00,24.03
2024-01-02 19:24:00,23.38
2024-01-02 19:30:00,23.04
2024-01-02 19:36:00,22.69
2024-01-02 19:42:00,20.0
2024-01-02 19:48:00,28.0
2024-01-02 19:54:00,35.0
2024-01-02 20:00:00,45.0
2024-01-02 20:06:00,55.0
2024-01-02 20:12:00,65.0
2024-01-02 20:18:00,75.0
2024-01-02 20:24:00,80.0
2024-01-02 20:30:00,85.0
2024-01-02 20:36:00,87.0
2024-01-02 20:42:00,88.5
2024-01-02 20:48:00,90.0
2024-01-02 20:54:00,91.0
2024-01-02 21:00:00,91.5
2024-01-02 21:06:00,92.0
2024-01-02 21:12:00,92.33
2024-01-02 21:18:00,92.66
2024-01-02 21:24:00,93.0
2024-01-02 21:30:00,93.25
2024-01-02 21:36:00,93.5
2024-01-02 21:42:00,93.75
2024-01-02 21:48:00,94.0
2024-01-02 21:54:00,94.2
2024-01-02 22:00:00,94.4
2024-01-02 22:06:00,94.6
2024-01-02 22:12:00,94.8
2024-01-02 22:18:00,95.0
2024-01-02 22:24:00,95.2
2024-01-02 22:30:00,95.4
2024-01-02 22:36:00,95.6
2024-01-02 22:42:00,95.8
2024-01-02 22:48:00,96.0
2024-01-02 22:54:00,96.2
2024-01-02 23:00:00,96.4
2024-01-02 23:06:00,96.6
2024-01-02 23:12:00,96.8
2024-01-02 23:18:00,97.0
2024-01-02 23:24:00,97.2
2024-01-02 23:30:00,97.4
2024-01-02 23:36:00,97.6
2024-01-02 23:42:00,97.8
2024-01-02 23:48:00,98.0
2024-01-02 23:54:00,98.2
2024-01-03 00:00:00,98.4
2024-01-03 00:06:00,98.6
2024-01-03 00:12:00,98.8
2024-01-03 00:18:00,99.0
2024-01-03 00:24:00,99.1
2024-01-03 00:30:00,99.2
2024-01-03 00:36:00,99.3
2024-01-03 00:42:00,99.4
2024-01-03 00:48:00,99.5
2024-01-03 00:54:00,99.6
2024-01-03 01:00:00,99.7
2024-01-03 01:06:00,99.8
2024-01-03 01:12:00,99.9
2024-01-03 01:18:00,100.0
2024-01-03 01:24:00,99.65
2024-01-03 01:30:00,99.31
2024-01-03 01:36:00,98.88
2024-01-03 01:42:00,98.45
2024-01-03 01:48:00,98.02
2024-01-03 01:54:00,97.59
2024-01-03 02:00:00,97.16
2024-01-03 02:06:00,96.73
2024-01-03 02:12:00,96.3
2024-01-03 02:18:00,95.87
2024-01-03 10:06:00,94.79
2024-01-03 10:12:00,94.0
2024-01-03 10:18:00,93.4
2024-01-03 10:24:00,92.93
2024-01-03 10:30:00,92.45
2024-01-03 10:36:00,91.97
2024-01-03 10:42:00,91.49
2024-01-03 10:48:00,91.02
2024-01-03 10:54:00,90.39
2024-01-03 11:00:00,89.77
2024-01-03 11:06:00,88.94
2024-01-03 11:12:00,88.29
2024-01-03 11:18:00,87.62
2024-01-03 11:24:00,86.94
2024-01-03 11:30:00,86.31
2024-01-03 11:36:00,85.68
2024-01-03 11:42:00,85.05
2024-01-03 11:48:00,83.65
2024-01-03 11:54:00,82.23
2024-01-03 12:00:00,80.14
2024-01-03 12:06:00,77.92
2024-01-03 12:12:00,76.24
2024-01-03 12:18:00,74.9
2024-01-03 12:24:00,74.08
2024-01-03 12:30:00,73.12
2024-01-03 12:36:00,71.66
2024-01-03 12:42:00,70.14
2024-01-03 12:48:00,69.28
2024-01-03 12:54:00,68.43
2024-01-03 13:00:00,67.44
2024-01-03 13:06:00,66.45
2024-01-03 13:12:00,64.82
2024-01-03 13:18:00,63.99
2024-01-03 13:24:00,62.85
2024-01-03 13:30:00,61.27
2024-01-03 13:36:00,60.47
2024-01-03 13:42:00,59.34
2024-01-03 13:48:00,58.51
2024-01-03 13:54:00,57.67
2024-01-03 14:00:00,56.86
2024-01-03 14:06:00,56.05
2024-01-03 14:12:00,54.79
2024-01-03 14:18:00,53.61
2024-01-03 14:24:00,52.43
2024-01-03 14:30:00,51.26
2024-01-03 14:36:00,50.05
2024-01-03 14:42:00,48.84
2024-01-03 14:48:00,47.65
2024-01-03 14:54:00,46.04
2024-01-03 15:00:00,44.23
2024-01-03 15:06:00,42.93
2024-01-03 15:12:00,41.62
2024-01-03 15:18:00,40.34
2024-01-03 15:24:00,38.83
2024-01-03 15:30:00,37.11
2024-01-03 15:36:00,35.71
2024-01-03 15:42:00,34.54
2024-01-03 15:48:00,33.36
2024-01-03 15:54:00,31.84
2024-01-03 16:00:00,30.64
2024-01-03 16:06:00,29.03
2024-01-03 16:12:00,27.85
2024-01-03 16:18:00,27.44
2024-01-03 16:24:00,26.55
2024-01-03 16:30:00,25.95
2024-01-03 16:36:00,25.5
2024-01-03 16:42:00,25.05
2024-01-03 16:48:00,24.61
2024-01-03 16:54:00,24.23
2024-01-03 17:00:00,23.85
2024-01-03 17:06:00,20.0
2024-01-03 17:12:00,28.0
2024-01-03 17:18:00,35.0
2024-01-03 17:24:00,45.0
2024-01-03 17:30:00,55.0
2024-01-03 17:36:00,65.0
2024-01-03 17:42:00,75.0
2024-01-03 17:48:00,80.0
2024-01-03 17:54:00,85.0
2024-01-03 18:00:00,87.0
2024-01-03 18:06:00,88.5
2024-01-03 18:12:00,90.0
2024-01-03 18:18:00,91.0
2024-01-03 18:24:00,91.5
2024-01-03 18:30:00,92.0
2024-01-03 18:36:00,92.33
2024-01-03 18:42:00,92.66
2024-01-03 18:48:00,93.0
2024-01-03 18:54:00,93.25
2024-01-03 19:00:00,93.5
2024-01-03 19:06:00,93.75
2024-01-03 19:12:00,94.0
2024-01-03 19:18:00,94.2
2024-01-03 19:24:00,94.4
2024-01-03 19:30:00,94.6
2024-01-03 19:36:00,94.8
2024-01-03 19:42:00,95.0
2024-01-03 19:48:00,95.2
2024-01-03 19:54:00,95.4
2024-01-03 20:00:00,95.6
2024-01-03 20:06:00,95.8
2024-01-03 20:12:00,96.0
2024-01-03 20:18:00,96.2
2024-01-03 20:24:00,96.4
2024-01-03 20:30:00,96.6
2024-01-03 20:36:00,96.8
2024-01-03 20:42:00,97.0
2024-01-03 20:48:00,97.2
2024-01-03 20:54:00,97.4
2024-01-03 21:00:00,97.6
2024-01-03 21:06:00,97.8
2024-01-03 21:12:00,98.0
2024-01-03 21:18:00,98.2
2024-01-03 21:24:00,98.4
2024-01-03 21:30:00,98.6
2024-01-03 21:36:00,98.8
2024-01-03 21:42:00,99.0
2024-01-03 21:48:00,99.1
2024-01-03 21:54:00,99.2
2024-01-03 22:00:00,99.3
2024-01-03 22:06:00,99.4
2024-01-03 22:12:00,99.5
2024-01-03 22:18:00,99.6
2024-01-03 22:24:00,99.7
2024-01-03 22:30:00,99.8
2024-01-03 22:36:00,99.9
2024-01-03 22:42:00,100.0
2024-01-03 22:48:00,99.62
2024-01-03 22:54:00,99.24
2024-01-03 23:00:00,99.18
2024-01-03 23:06:00,99.12
2024-01-03 23:12:00,99.06
2024-01-03 23:18:00,98.99
2024-01-03 23:24:00,98.93
2024-01-03 23:30:00,98.87
2024-01-03 23:36:00,98.81
2024-01-03 23:42:00,98.75
2024-01-03 23:48:00,98.68
2024-01-03 23:54:00,98.62
2024-01-04 10:06:00,97.71
2024-01-04 10:12:00,95.93
2024-01-04 10:18:00,94.99
2024-01-04 10:24:00,93.41
2024-01-04 10:30:00,91.98
2024-01-04 10:36:00,91.02
2024-01-04 10:42:00,90.07
2024-01-04 10:48:00,89.08
2024-01-04 10:54:00,88.22
2024-01-04 11:00:00,87.48
2024-01-04 11:06:00,86.22
2024-01-04 11:12:00,85.45
2024-01-04 11:18:00,84.69
2024-01-04 11:24:00,83.74
2024-01-04 11:30:00,82.98
2024-01-04 11:36:00,82.23
2024-01-04 11:42:00,81.45
2024-01-04 11:48:00,80.63
2024-01-04 11:54:00,79.81
2024-01-04 12:00:00,78.08
2024-01-04 12:06:00,76.87
2024-01-04 12:12:00,76.03
2024-01-04 12:18:00,75.23
2024-01-04 12:24:00,74.33
2024-01-04 12:30:00,73.53
2024-01-04 12:36:00,72.72
2024-01-04 12:42:00,72.47
2024-01-04 12:48:00,72.18
2024-01-04 12:54:00,71.83
2024-01-04 13:00:00,70.77
2024-01-04 13:06:00,70.54
2024-01-04 13:12:00,70.04
2024-01-04 13:18:00,69.81
2024-01-04 13:24:00,69.59
2024-01-04 13:30:00,69.33
2024-01-04 13:36:00,69.08
2024-01-04 13:42:00,68.32
2024-01-04 13:48:00,68.06
2024-01-04 13:54:00,67.79
2024-01-04 14:00:00,67.52
2024-01-04 14:06:00,66.45
2024-01-04 14:12:00,65.83
2024-01-04 14:18:00,65.57
2024-01-04 14:24:00,65.31
2024-01-04 14:30:00,65.04
2024-01-04 14:36:00,63.92
2024-01-04 14:42:00,62.81
2024-01-04 14:48:00,62.41
2024-01-04 14:54:00,61.59
2024-01-04 15:00:00,60.69
2024-01-04 15:06:00,60.4
2024-01-04 15:12:00,60.16
2024-01-04 15:18:00,59.92
2024-01-04 15:24:00,59.68
2024-01-04 15:30:00,59.45
2024-01-04 15:36:00,59.15
2024-01-04 15:42:00,58.41
2024-01-04 15:48:00,57.03
2024-01-04 15:54:00,55.89
2024-01-04 16:00:00,55.16
2024-01-04 16:06:00,54.43
2024-01-04 16:12:00,52.85
2024-01-04 16:18:00,51.29
2024-01-04 16:24:00,50.55
2024-01-04 16:30:00,49.78
2024-01-04 16:36:00,49.03
2024-01-04 16:42:00,47.69
2024-01-04 16:48:00,46.51
2024-01-04 16:54:00,45.33
2024-01-04 17:00:00,44.15
2024-01-04 17:06:00,42.96
2024-01-04 17:12:00,41.78
2024-01-04 17:18:00,40.59
2024-01-04 17:24:00,39.4
2024-01-04 17:30:00,37.68
2024-01-04 17:36:00,35.85
2024-01-04 17:42:00,33.97
2024-01-04 17:48:00,32.8
2024-01-04 17:54:00,31.63
2024-01-04 18:00:00,30.39
2024-01-04 18:06:00,30.06
2024-01-04 18:12:00,29.72
2024-01-04 18:18:00,28.0
2024-01-04 18:24:00,35.0
2024-01-04 18:30:00,45.0
2024-01-04 18:36:00,55.0
2024-01-04 18:42:00,65.0
2024-01-04 18:48:00,75.0
2024-01-04 18:54:00,80.0
2024-01-04 19:00:00,85.0
2024-01-04 19:06:00,87.0
2024-01-04 19:12:00,88.5
2024-01-04 19:18:00,90.0
2024-01-04 19:24:00,91.0
2024-01-04 19:30:00,91.5
2024-01-04 19:36:00,92.0
2024-01-04 19:42:00,92.33
2024-01-04 19:48:00,92.66
2024-01-04 19:54:00,93.0
2024-01-04 20:00:00,93.25
2024-01-04 20:06:00,93.5
2024-01-04 20:12:00,93.75
2024-01-04 20:18:00,94.0
2024-01-04 20:24:00,94.2
2024-01-04 20:30:00,94.4
2024-01-04 20:36:00,94.6
2024-01-04 20:42:00,94.8
2024-01-04 20:48:00,95.0
2024-01-04 20:54:00,95.2
2024-01-04 21:00:00,95.4
2024-01-04 21:06:00,95.6
2024-01-04 21:12:00,95.8
2024-01-04 21:18:00,96.0
2024-01-04 21:24:00,96.2
2024-01-04 21:30:00,96.4
2024-01-04 21:36:00,96.6
2024-01-04 21:42:00,96.8
2024-01-04 21:48:00,97.0
2024-01-04 21:54:00,97.2
2024-01-04 22:00:00,97.4
2024-01-04 22:06:00,97.6
2024-01-04 22:12:00,97.8
2024-01-04 22:18:00,98.0
2024-01-04 22:24:00,98.2
2024-01-04 22:30:00,98.4
2024-01-04 22:36:00,98.6
2024-01-04 22:42:00,98.8
2024-01-04 22:48:00,99.0
2024-01-04 22:54:00,99.1
2024-01-04 23:00:00,99.2
2024-01-04 23:06:00,99.3
2024-01-04 23:12:00,99.4
2024-01-04 23:18:00,99.5
2024-01-04 23:24:00,99.6
2024-01-04 23:30:00,99.7
2024-01-04 23:36:00,99.8
2024-01-04 23:42:00,99.9
2024-01-04 23:48:00,100.0
2024-01-04 23:54:00,99.66
2024-01-05 00:00:00,99.33
2024-01-05 00:06:00,98.05
2024-01-05 00:12:00,96.78
2024-01-05 00:18:00,95.5
2024-01-05 00:24:00,94.22
2024-01-05 00:30:00,92.95
2024-01-05 00:36:00,91.67
2024-01-05 10:06:00,90.4
2024-01-05 10:12:00,88.96
2024-01-05 10:18:00,87.17
2024-01-05 10:24:00,85.8
2024-01-05 10:30:00,84.53
2024-01-05 10:36:00,83.26
2024-01-05 10:42:00,82.4
2024-01-05 10:48:00,81.32
2024-01-05 10:54:00,79.97
2024-01-05 11:00:00,79.18
2024-01-05 11:06:00,78.38
2024-01-05 11:12:00,77.04
2024-01-05 11:18:00,76.24
2024-01-05 11:24:00,74.69
2024-01-05 11:30:00,73.87
2024-01-05 11:36:00,73.6
2024-01-05 11:42:00,73.33
2024-01-05 11:48:00,73.09
2024-01-05 11:54:00,72.84
2024-01-05 12:00:00,72.6
2024-01-05 12:06:00,72.21
2024-01-05 12:12:00,71.94
2024-01-05 12:18:00,71.34
2024-01-05 12:24:00,70.8
2024-01-05 12:30:00,70.51
2024-01-05 12:36:00,69.98
2024-01-05 12:42:00,69.76
2024-01-05 12:48:00,69.53
2024-01-05 12:54:00,69.3
2024-01-05 13:00:00,69.07
2024-01-05 13:06:00,68.85
2024-01-05 13:12:00,67.75
2024-01-05 13:18:00,67.48
2024-01-05 13:24:00,67.1
2024-01-05 13:30:00,65.98
2024-01-05 13:36:00,65.14
2024-01-05 13:42:00,64.32
2024-01-05 13:48:00,63.47
2024-01-05 13:54:00,62.62
2024-01-05 14:00:00,61.19
2024-01-05 14:06:00,59.98
2024-01-05 14:12:00,59.14
2024-01-05 14:18:00,57.47
2024-01-05 14:24:00,56.63
2024-01-05 14:30:00,55.41
2024-01-05 14:36:00,54.22
2024-01-05 14:42:00,53.04
2024-01-05 14:48:00,51.86
2024-01-05 14:54:00,50.64
2024-01-05 15:00:00,49.43
2024-01-05 15:06:00,47.7
2024-01-05 15:12:00,47.42
2024-01-05 15:18:00,47.14
2024-01-05 15:24:00,46.22
2024-01-05 15:30:00,45.92
2024-01-05 15:36:00,45.43
2024-01-05 15:42:00,45.17
2024-01-05 15:48:00,44.91
2024-01-05 15:54:00,44.01
2024-01-05 16:00:00,43.74
2024-01-05 16:06:00,42.76
2024-01-05 16:12:00,42.36
2024-01-05 16:18:00,42.02
2024-01-05 16:24:00,41.33
2024-01-05 16:30:00,40.79
2024-01-05 16:36:00,39.73
2024-01-05 16:42:00,39.46
2024-01-05 16:48:00,39.19
2024-01-05 16:54:00,38.79
2024-01-05 17:00:00,38.52
2024-01-05 17:06:00,37.7
2024-01-05 17:12:00,36.65
2024-01-05 17:18:00,35.8
2024-01-05 17:24:00,34.7
2024-01-05 17:30:00,33.86
2024-01-05 17:36:00,33.04
2024-01-05 17:42:00,32.24
2024-01-05 17:48:00,31.4
2024-01-05 17:54:00,30.57
2024-01-05 18:00:00,30.18
2024-01-05 18:06:00,29.8
2024-01-05 18:12:00,28.0
2024-01-05 18:18:00,35.0
2024-01-05 18:24:00,45.0
2024-01-05 18:30:00,55.0
2024-01-05 18:36:00,65.0
2024-01-05 18:42:00,75.0
2024-01-05 18:48:00,80.0
2024-01-05 18:54:00,85.0
2024-01-05 19:00:00,87.0
2024-01-05 19:06:00,88.5
2024-01-05 19:12:00,90.0
2024-01-05 19:18:00,91.0
2024-01-05 19:24:00,91.5
2024-01-05 19:30:00,92.0
2024-01-05 19:36:00,92.33
2024-01-05 19:42:00,92.66
2024-01-05 19:48:00,93.0
2024-01-05 19:54:00,93.25
2024-01-05 20:00:00,93.5
2024-01-05 20:06:00,93.75
2024-01-05 20:12:00,94.0
2024-01-05 20:18:00,94.2
2024-01-05 20:24:00,94.4
2024-01-05 20:30:00,94.6
2024-01-05 20:36:00,94.8
2024-01-05 20:42:00,95.0
2024-01-05 20:48:00,95.2
2024-01-05 20:54:00,95.4
2024-01-05 21:00:00,95.6
2024-01-05 21:06:00,95.8
2024-01-05 21:12:00,96.0
2024-01-05 21:18:00,96.2
2024-01-05 21:24:00,96.4
2024-01-05 21:30:00,96.6
2024-01-05 21:36:00,96.8
2024-01-05 21:42:00,97.0
2024-01-05 21:48:00,97.2
2024-01-05 21:54:00,97.4
2024-01-05 22:00:00,97.6
2024-01-05 22:06:00,97.8
2024-01-05 22:12:00,98.0
2024-01-05 22:18:00,98.2
2024-01-05 22:24:00,98.4
2024-01-05 22:30:00,98.6
2024-01-05 22:36:00,98.8
2024-01-05 22:42:00,99.0
2024-01-05 22:48:00,99.1
2024-01-05 22:54:00,99.2
2024-01-05 23:00:00,99.3
2024-01-05 23:06:00,99.4
2024-01-05 23:12:00,99.5
2024-01-05 23:18:00,99.6
2024-01-05 23:24:00,99.7
2024-01-05 23:30:00,99.8
2024-01-05 23:36:00,99.9
2024-01-05 23:42:00,100.0
2024-01-05 23:48:00,99.62
2024-01-05 23:54:00,99.23
2024-01-06 00:00:00,97.97
2024-01-06 00:06:00,96.71
2024-01-06 00:12:00,95.44
2024-01-06 00:18:00,94.18
2024-01-06 00:24:00,92.91
2024-01-06 00:30:00,91.65
2024-01-06 10:06:00,91.15
2024-01-06 10:12:00,90.48
2024-01-06 10:18:00,90.04
2024-01-06 10:24:00,89.61
2024-01-06 10:30:00,88.72
2024-01-06 10:36:00,88.27
2024-01-06 10:42:00,87.82
2024-01-06 10:48:00,87.35
2024-01-06 10:54:00,86.7
2024-01-06 11:00:00,85.28
2024-01-06 11:06:00,84.6
2024-01-06 11:12:00,83.97
2024-01-06 11:18:00,83.34
2024-01-06 11:24:00,82.71
2024-01-06 11:30:00,82.08
2024-01-06 11:36:00,81.45
2024-01-06 11:42:00,80.8
2024-01-06 11:48:00,79.45
2024-01-06 11:54:00,78.11
2024-01-06 12:00:00,76.78
2024-01-06 12:06:00,75.45
2024-01-06 12:12:00,74.13
2024-01-06 12:18:00,72.72
2024-01-06 12:24:00,71.39
2024-01-06 12:30:00,70.09
2024-01-06 12:36:00,68.78
2024-01-06 12:42:00,66.61
2024-01-06 12:48:00,65.0
2024-01-06 12:54:00,63.7
2024-01-06 13:00:00,63.28
2024-01-06 13:06:00,62.89
2024-01-06 13:12:00,61.76
2024-01-06 13:18:00,61.32
2024-01-06 13:24:00,60.22
2024-01-06 13:30:00,59.8
2024-01-06 13:36:00,59.36
2024-01-06 13:42:00,58.94
2024-01-06 13:48:00,58.52
2024-01-06 13:54:00,58.1
2024-01-06 14:00:00,57.85
2024-01-06 14:06:00,57.26
2024-01-06 14:12:00,57.02
2024-01-06 14:18:00,56.73
2024-01-06 14:24:00,55.9
2024-01-06 14:30:00,55.24
2024-01-06 14:36:00,54.96
2024-01-06 14:42:00,54.3
2024-01-06 14:48:00,54.05
2024-01-06 14:54:00,53.82
2024-01-06 15:00:00,53.6
2024-01-06 15:06:00,53.37
2024-01-06 15:12:00,53.1
2024-01-06 15:18:00,52.19
2024-01-06 15:24:00,51.43
2024-01-06 15:30:00,51.15
2024-01-06 15:36:00,50.25
2024-01-06 15:42:00,50.02
2024-01-06 15:48:00,49.09
2024-01-06 15:54:00,48.31
2024-01-06 16:00:00,47.53
2024-01-06 16:06:00,46.73
2024-01-06 16:12:00,45.75
2024-01-06 16:18:00,44.91
2024-01-06 16:24:00,44.13
2024-01-06 16:30:00,42.73
2024-01-06 16:36:00,41.92
2024-01-06 16:42:00,41.11
2024-01-06 16:48:00,39.91
2024-01-06 16:54:00,38.71
2024-01-06 17:00:00,37.53
2024-01-06 17:06:00,36.34
2024-01-06 17:12:00,34.66
2024-01-06 17:18:00,33.48
2024-01-06 17:24:00,32.29
2024-01-06 17:30:00,31.94
2024-01-06 17:36:00,31.59
2024-01-06 17:42:00,28.0
2024-01-06 17:48:00,35.0
2024-01-06 17:54:00,45.0
2024-01-06 18:00:00,55.0
2024-01-06 18:06:00,65.0
2024-01-06 18:12:00,75.0
2024-01-06 18:18:00,80.0
2024-01-06 18:24:00,85.0
2024-01-06 18:30:00,87.0
2024-01-06 18:36:00,88.5
2024-01-06 18:42:00,90.0
2024-01-06 18:48:00,91.0
2024-01-06 18:54:00,91.5
2024-01-06 19:00:00,92.0
2024-01-06 19:06:00,92.33
2024-01-06 19:12:00,92.66
2024-01-06 19:18:00,93.0
2024-01-06 19:24:00,93.25
2024-01-06 19:30:00,93.5
2024-01-06 19:36:00,93.75
2024-01-06 19:42:00,94.0
2024-01-06 19:48:00,94.2
2024-01-06 19:54:00,94.4
2024-01-06 20:00:00,94.6
2024-01-06 20:06:00,94.8
2024-01-06 20:12:00,95.0
2024-01-06 20:18:00,95.2
2024-01-06 20:24:00,95.4
2024-01-06 20:30:00,95.6
2024-01-06 20:36:00,95.8
2024-01-06 20:42:00,96.0
2024-01-06 20:48:00,96.2
2024-01-06 20:54:00,96.4
2024-01-06 21:00:00,96.6
2024-01-06 21:06:00,96.8
2024-01-06 21:12:00,97.0
2024-01-06 21:18:00,97.2
2024-01-06 21:24:00,97.4
2024-01-06 21:30:00,97.6
2024-01-06 21:36:00,97.8
2024-01-06 21:42:00,98.0
2024-01-06 21:48:00,98.2
2024-01-06 21:54:00,98.4
2024-01-06 22:00:00,98.6
2024-01-06 22:06:00,98.8
2024-01-06 22:12:00,99.0
2024-01-06 22:18:00,99.1
2024-01-06 22:24:00,99.2
2024-01-06 22:30:00,99.3
2024-01-06 22:36:00,99.4
2024-01-06 22:42:00,99.5
2024-01-06 22:48:00,99.6
2024-01-06 22:54:00,99.7
2024-01-06 23:00:00,99.8
2024-01-06 23:06:00,99.9
2024-01-06 23:12:00,100.0
2024-01-06 23:18:00,99.65
2024-01-06 23:24:00,99.3
2024-01-06 23:30:00,99.09
2024-01-06 23:36:00,98.87
2024-01-06 23:42:00,98.65
2024-01-06 23:48:00,98.44
2024-01-06 23:54:00,98.22
2024-01-07 00:00:00,98.01
2024-01-07 00:06:00,97.79
2024-01-07 00:12:00,97.57
2024-01-07 00:18:00,97.36
2024-01-07 10:06:00,95.49
2024-01-07 10:12:00,94.03
2024-01-07 10:18:00,92.69
2024-01-07 10:24:00,91.32
2024-01-07 10:30:00,89.92
2024-01-07 10:36:00,88.56
2024-01-07 10:42:00,87.32
2024-01-07 10:48:00,85.71
2024-01-07 10:54:00,84.49
2024-01-07 11:00:00,83.66
2024-01-07 11:06:00,82.84
2024-01-07 11:12:00,81.84
2024-01-07 11:18:00,80.72
